id,query,entity_type,query_category
46,What is the meditation of Heartfulness learning centre Kanha campus,heartfulness_kanha,spiritual
47,What is classroom at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
48,What is the classroom of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
49,What is laboratory at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
50,What is the laboratory of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
51,What is hostel at Heartfulness learning centre Kanha campus,heartfulness_kanha,facilities
52,What is the hostel of Heartfulness learning centre Kanha campus,heartfulness_kanha,facilities
53,What is gardens at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
54,What is the gardens of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
55,What is sustainability at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
56,What is the sustainability of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
57,What is organic farming at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
58,What is the organic farming of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
59,What is volunteering at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
60,What is the volunteering of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
61,What is workshops at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
62,What is the workshops of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
63,What is seminars at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
64,What is the seminars of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
65,What is retreats at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
66,What is the retreats of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
67,What is transport at Heartfulness learning centre Kanha campus,heartfulness_kanha,services
68,What is the transport of Heartfulness learning centre Kanha campus,heartfulness_kanha,services
69,What is bus routes at Heartfulness learning centre Kanha campus,heartfulness_kanha,services
70,What is the bus routes of Heartfulness learning centre Kanha campus,heartfulness_kanha,services
71,What is parking at Heartfulness learning centre Kanha campus,heartfulness_kanha,services
72,What is the parking of Heartfulness learning centre Kanha campus,heartfulness_kanha,services
73,What is scholarships at Heartfulness learning centre Kanha campus,heartfulness_kanha,financial
74,What is the scholarships of Heartfulness learning centre Kanha campus,heartfulness_kanha,financial
75,What is fees at Heartfulness learning centre Kanha campus,heartfulness_kanha,financial
76,What is the fees of Heartfulness learning centre Kanha campus,heartfulness_kanha,financial
77,What is admission process at Heartfulness learning centre Kanha campus,heartfulness_kanha,admission
78,What is the admission process of Heartfulness learning centre Kanha campus,heartfulness_kanha,admission
79,What is requirements at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
80,What is the requirements of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
81,What is calendar at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
82,What is the calendar of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
83,What is opening times at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
84,What is the opening times of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
85,What is closing times at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
86,What is the closing times of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
87,What is weekend timings at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
88,What is the weekend timings of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
89,What is summer camp at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
90,What is the summer camp of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
91,What is winter camp at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
92,What is the winter camp of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
93,What is holiday programs at Heartfulness learning centre Kanha campus,heartfulness_kanha,academic
94,What is the holiday programs of Heartfulness learning centre Kanha campus,heartfulness_kanha,academic
95,What is international exchange at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
96,What is the international exchange of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
97,What is award winners at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
98,What is the award winners of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
99,What is tech programs at Heartfulness learning centre Kanha campus,heartfulness_kanha,academic
100,What is the tech programs of Heartfulness learning centre Kanha campus,heartfulness_kanha,academic
101,What is community service at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
102,What is the community service of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
103,What is placement services at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
104,What is the placement services of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
105,What is healthcare at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
106,What is the healthcare of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
107,What is emergency at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
108,What is the emergency of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
109,What is diet at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
110,What is the diet of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
111,What is meals at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
112,What is the meals of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
113,What is canteen at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
114,What is the canteen of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
115,What is nursery at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
116,What is the nursery of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
117,What is primary at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
118,What is the primary of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
119,What is secondary at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
120,What is the secondary of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
121,What is higher secondary at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
122,What is the higher secondary of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
123,What is postgraduate at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
124,What is the postgraduate of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
125,What is certificate at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
126,What is the certificate of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
127,What is diploma at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
128,What is the diploma of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
129,What is continuing education at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
130,What is the continuing education of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
131,What is special education at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
132,What is the special education of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
133,What is extracurricular at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
134,What is the extracurricular of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
135,What is sports at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
136,What is the sports of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
137,What is music at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
138,What is the music of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
139,What is art at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
140,What is the art of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
141,What is dance at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
142,What is the dance of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
143,What is mental wellness at Heartfulness learning centre Kanha campus,heartfulness_kanha,spiritual
144,What is the mental wellness of Heartfulness learning centre Kanha campus,heartfulness_kanha,spiritual
145,What is counseling at Heartfulness learning centre Kanha campus,heartfulness_kanha,information
146,What is the counseling of Heartfulness learning centre Kanha campus,heartfulness_kanha,information
147,What is address at Kanha Shanti Vanam,heartfulness_kanha,information
148,What is the address of Kanha Shanti Vanam,heartfulness_kanha,information
149,What is location at Kanha Shanti Vanam,heartfulness_kanha,information
150,What is the location of Kanha Shanti Vanam,heartfulness_kanha,information
151,What is phone number at Kanha Shanti Vanam,heartfulness_kanha,information
152,What is the phone number of Kanha Shanti Vanam,heartfulness_kanha,information
153,What is email at Kanha Shanti Vanam,heartfulness_kanha,information
154,What is the email of Kanha Shanti Vanam,heartfulness_kanha,information
155,What is website at Kanha Shanti Vanam,heartfulness_kanha,information
156,What is the website of Kanha Shanti Vanam,heartfulness_kanha,information
157,What is history at Kanha Shanti Vanam,heartfulness_kanha,information
158,What is the history of Kanha Shanti Vanam,heartfulness_kanha,information
159,What is mission at Kanha Shanti Vanam,heartfulness_kanha,information
160,What is the mission of Kanha Shanti Vanam,heartfulness_kanha,information
161,What is vision at Kanha Shanti Vanam,heartfulness_kanha,information
162,What is the vision of Kanha Shanti Vanam,heartfulness_kanha,information
163,What is director at Kanha Shanti Vanam,heartfulness_kanha,information
164,What is the director of Kanha Shanti Vanam,heartfulness_kanha,information
165,What is principal at Kanha Shanti Vanam,heartfulness_kanha,information
166,What is the principal of Kanha Shanti Vanam,heartfulness_kanha,information
167,What is student life at Kanha Shanti Vanam,heartfulness_kanha,information
168,What is the student life of Kanha Shanti Vanam,heartfulness_kanha,information
169,What is faculty at Kanha Shanti Vanam,heartfulness_kanha,information
170,What is the faculty of Kanha Shanti Vanam,heartfulness_kanha,information
171,What is staff at Kanha Shanti Vanam,heartfulness_kanha,information
172,What is the staff of Kanha Shanti Vanam,heartfulness_kanha,information
173,What is guidance at Kanha Shanti Vanam,heartfulness_kanha,information
174,What is the guidance of Kanha Shanti Vanam,heartfulness_kanha,information
175,What is security at Kanha Shanti Vanam,heartfulness_kanha,information
176,What is the security of Kanha Shanti Vanam,heartfulness_kanha,information
177,What is internet at Kanha Shanti Vanam,heartfulness_kanha,information
178,What is the internet of Kanha Shanti Vanam,heartfulness_kanha,information
179,What is WiFi at Kanha Shanti Vanam,heartfulness_kanha,information
180,What is the WiFi of Kanha Shanti Vanam,heartfulness_kanha,information
181,What is digital library at Kanha Shanti Vanam,heartfulness_kanha,information
182,What is the digital library of Kanha Shanti Vanam,heartfulness_kanha,information
183,What is events at Kanha Shanti Vanam,heartfulness_kanha,information
184,What is the events of Kanha Shanti Vanam,heartfulness_kanha,information
185,What is festivals at Kanha Shanti Vanam,heartfulness_kanha,information
186,What is the festivals of Kanha Shanti Vanam,heartfulness_kanha,information
187,What is celebrations at Kanha Shanti Vanam,heartfulness_kanha,information
188,What is the celebrations of Kanha Shanti Vanam,heartfulness_kanha,information
189,What is yoga at Kanha Shanti Vanam,heartfulness_kanha,spiritual
190,What is the yoga of Kanha Shanti Vanam,heartfulness_kanha,spiritual
191,What is meditation at Kanha Shanti Vanam,heartfulness_kanha,spiritual
192,What is the meditation of Kanha Shanti Vanam,heartfulness_kanha,spiritual
193,What is classroom at Kanha Shanti Vanam,heartfulness_kanha,information
194,What is the classroom of Kanha Shanti Vanam,heartfulness_kanha,information
195,What is laboratory at Kanha Shanti Vanam,heartfulness_kanha,information
196,What is the laboratory of Kanha Shanti Vanam,heartfulness_kanha,information
197,What is hostel at Kanha Shanti Vanam,heartfulness_kanha,facilities
198,What is the hostel of Kanha Shanti Vanam,heartfulness_kanha,facilities
199,What is gardens at Kanha Shanti Vanam,heartfulness_kanha,information
200,What is the gardens of Kanha Shanti Vanam,heartfulness_kanha,information
201,What is sustainability at Kanha Shanti Vanam,heartfulness_kanha,information
202,What is the sustainability of Kanha Shanti Vanam,heartfulness_kanha,information
203,What is organic farming at Kanha Shanti Vanam,heartfulness_kanha,information
204,What is the organic farming of Kanha Shanti Vanam,heartfulness_kanha,information
205,What is volunteering at Kanha Shanti Vanam,heartfulness_kanha,information
206,What is the volunteering of Kanha Shanti Vanam,heartfulness_kanha,information
207,What is workshops at Kanha Shanti Vanam,heartfulness_kanha,information
208,What is the workshops of Kanha Shanti Vanam,heartfulness_kanha,information
209,What is seminars at Kanha Shanti Vanam,heartfulness_kanha,information
210,What is the seminars of Kanha Shanti Vanam,heartfulness_kanha,information
211,What is retreats at Kanha Shanti Vanam,heartfulness_kanha,information
212,What is the retreats of Kanha Shanti Vanam,heartfulness_kanha,information
213,What is transport at Kanha Shanti Vanam,heartfulness_kanha,services
214,What is the transport of Kanha Shanti Vanam,heartfulness_kanha,services
215,What is bus routes at Kanha Shanti Vanam,heartfulness_kanha,services
216,What is the bus routes of Kanha Shanti Vanam,heartfulness_kanha,services
217,What is parking at Kanha Shanti Vanam,heartfulness_kanha,services
218,What is the parking of Kanha Shanti Vanam,heartfulness_kanha,services
219,What is scholarships at Kanha Shanti Vanam,heartfulness_kanha,financial
220,What is the scholarships of Kanha Shanti Vanam,heartfulness_kanha,financial
221,What is fees at Kanha Shanti Vanam,heartfulness_kanha,financial
222,What is the fees of Kanha Shanti Vanam,heartfulness_kanha,financial
223,What is admission process at Kanha Shanti Vanam,heartfulness_kanha,admission
224,What is the admission process of Kanha Shanti Vanam,heartfulness_kanha,admission
225,What is requirements at Kanha Shanti Vanam,heartfulness_kanha,information
226,What is the requirements of Kanha Shanti Vanam,heartfulness_kanha,information
227,What is calendar at Kanha Shanti Vanam,heartfulness_kanha,information
228,What is the calendar of Kanha Shanti Vanam,heartfulness_kanha,information
229,What is opening times at Kanha Shanti Vanam,heartfulness_kanha,information
230,What is the opening times of Kanha Shanti Vanam,heartfulness_kanha,information
231,What is closing times at Kanha Shanti Vanam,heartfulness_kanha,information
232,What is the closing times of Kanha Shanti Vanam,heartfulness_kanha,information
233,What is weekend timings at Kanha Shanti Vanam,heartfulness_kanha,information
234,What is the weekend timings of Kanha Shanti Vanam,heartfulness_kanha,information
235,What is summer camp at Kanha Shanti Vanam,heartfulness_kanha,information
236,What is the summer camp of Kanha Shanti Vanam,heartfulness_kanha,information
237,What is winter camp at Kanha Shanti Vanam,heartfulness_kanha,information
238,What is the winter camp of Kanha Shanti Vanam,heartfulness_kanha,information
239,What is holiday programs at Kanha Shanti Vanam,heartfulness_kanha,academic
240,What is the holiday programs of Kanha Shanti Vanam,heartfulness_kanha,academic
241,What is international exchange at Kanha Shanti Vanam,heartfulness_kanha,information
242,What is the international exchange of Kanha Shanti Vanam,heartfulness_kanha,information
243,What is award winners at Kanha Shanti Vanam,heartfulness_kanha,information
244,What is the award winners of Kanha Shanti Vanam,heartfulness_kanha,information
245,What is tech programs at Kanha Shanti Vanam,heartfulness_kanha,academic
246,What is the tech programs of Kanha Shanti Vanam,heartfulness_kanha,academic
247,What is community service at Kanha Shanti Vanam,heartfulness_kanha,information
248,What is the community service of Kanha Shanti Vanam,heartfulness_kanha,information
249,What is placement services at Kanha Shanti Vanam,heartfulness_kanha,information
250,What is the placement services of Kanha Shanti Vanam,heartfulness_kanha,information
251,What is healthcare at Kanha Shanti Vanam,heartfulness_kanha,information
252,What is the healthcare of Kanha Shanti Vanam,heartfulness_kanha,information
253,What is emergency at Kanha Shanti Vanam,heartfulness_kanha,information
254,What is the emergency of Kanha Shanti Vanam,heartfulness_kanha,information
255,What is diet at Kanha Shanti Vanam,heartfulness_kanha,information
256,What is the diet of Kanha Shanti Vanam,heartfulness_kanha,information
257,What is meals at Kanha Shanti Vanam,heartfulness_kanha,information
258,What is the meals of Kanha Shanti Vanam,heartfulness_kanha,information
259,What is canteen at Kanha Shanti Vanam,heartfulness_kanha,information
260,What is the canteen of Kanha Shanti Vanam,heartfulness_kanha,information
261,What is nursery at Kanha Shanti Vanam,heartfulness_kanha,information
262,What is the nursery of Kanha Shanti Vanam,heartfulness_kanha,information
263,What is primary at Kanha Shanti Vanam,heartfulness_kanha,information
264,What is the primary of Kanha Shanti Vanam,heartfulness_kanha,information
265,What is secondary at Kanha Shanti Vanam,heartfulness_kanha,information
266,What is the secondary of Kanha Shanti Vanam,heartfulness_kanha,information
267,What is higher secondary at Kanha Shanti Vanam,heartfulness_kanha,information
268,What is the higher secondary of Kanha Shanti Vanam,heartfulness_kanha,information
269,What is postgraduate at Kanha Shanti Vanam,heartfulness_kanha,information
270,What is the postgraduate of Kanha Shanti Vanam,heartfulness_kanha,information
271,What is certificate at Kanha Shanti Vanam,heartfulness_kanha,information
272,What is the certificate of Kanha Shanti Vanam,heartfulness_kanha,information
273,What is diploma at Kanha Shanti Vanam,heartfulness_kanha,information
274,What is the diploma of Kanha Shanti Vanam,heartfulness_kanha,information
275,What is continuing education at Kanha Shanti Vanam,heartfulness_kanha,information
276,What is the continuing education of Kanha Shanti Vanam,heartfulness_kanha,information
277,What is special education at Kanha Shanti Vanam,heartfulness_kanha,information
278,What is the special education of Kanha Shanti Vanam,heartfulness_kanha,information
279,What is extracurricular at Kanha Shanti Vanam,heartfulness_kanha,information
280,What is the extracurricular of Kanha Shanti Vanam,heartfulness_kanha,information
281,What is sports at Kanha Shanti Vanam,heartfulness_kanha,information
282,What is the sports of Kanha Shanti Vanam,heartfulness_kanha,information
283,What is music at Kanha Shanti Vanam,heartfulness_kanha,information
284,What is the music of Kanha Shanti Vanam,heartfulness_kanha,information
285,What is art at Kanha Shanti Vanam,heartfulness_kanha,information
286,What is the art of Kanha Shanti Vanam,heartfulness_kanha,information
287,What is dance at Kanha Shanti Vanam,heartfulness_kanha,information
288,What is the dance of Kanha Shanti Vanam,heartfulness_kanha,information
289,What is mental wellness at Kanha Shanti Vanam,heartfulness_kanha,spiritual
290,What is the mental wellness of Kanha Shanti Vanam,heartfulness_kanha,spiritual
291,What is counseling at Kanha Shanti Vanam,heartfulness_kanha,information
292,What is the counseling of Kanha Shanti Vanam,heartfulness_kanha,information
293,What is address at Heartfulness Institute Kanha,heartfulness_kanha,information
294,What is the address of Heartfulness Institute Kanha,heartfulness_kanha,information
295,What is location at Heartfulness Institute Kanha,heartfulness_kanha,information
296,What is the location of Heartfulness Institute Kanha,heartfulness_kanha,information
297,What is phone number at Heartfulness Institute Kanha,heartfulness_kanha,information
298,What is the phone number of Heartfulness Institute Kanha,heartfulness_kanha,information
299,What is email at Heartfulness Institute Kanha,heartfulness_kanha,information
300,What is the email of Heartfulness Institute Kanha,heartfulness_kanha,information
301,What is website at Heartfulness Institute Kanha,heartfulness_kanha,information
302,What is the website of Heartfulness Institute Kanha,heartfulness_kanha,information
303,What is history at Heartfulness Institute Kanha,heartfulness_kanha,information
304,What is the history of Heartfulness Institute Kanha,heartfulness_kanha,information
305,What is mission at Heartfulness Institute Kanha,heartfulness_kanha,information
306,What is the mission of Heartfulness Institute Kanha,heartfulness_kanha,information
307,What is vision at Heartfulness Institute Kanha,heartfulness_kanha,information
308,What is the vision of Heartfulness Institute Kanha,heartfulness_kanha,information
309,What is director at Heartfulness Institute Kanha,heartfulness_kanha,information
310,What is the director of Heartfulness Institute Kanha,heartfulness_kanha,information
311,What is principal at Heartfulness Institute Kanha,heartfulness_kanha,information
312,What is the principal of Heartfulness Institute Kanha,heartfulness_kanha,information
313,What is student life at Heartfulness Institute Kanha,heartfulness_kanha,information
314,What is the student life of Heartfulness Institute Kanha,heartfulness_kanha,information
315,What is faculty at Heartfulness Institute Kanha,heartfulness_kanha,information
316,What is the faculty of Heartfulness Institute Kanha,heartfulness_kanha,information
317,What is staff at Heartfulness Institute Kanha,heartfulness_kanha,information
318,What is the staff of Heartfulness Institute Kanha,heartfulness_kanha,information
319,What is guidance at Heartfulness Institute Kanha,heartfulness_kanha,information
320,What is the guidance of Heartfulness Institute Kanha,heartfulness_kanha,information
321,What is security at Heartfulness Institute Kanha,heartfulness_kanha,information
322,What is the security of Heartfulness Institute Kanha,heartfulness_kanha,information
323,What is internet at Heartfulness Institute Kanha,heartfulness_kanha,information
324,What is the internet of Heartfulness Institute Kanha,heartfulness_kanha,information
325,What is WiFi at Heartfulness Institute Kanha,heartfulness_kanha,information
326,What is the WiFi of Heartfulness Institute Kanha,heartfulness_kanha,information
327,What is digital library at Heartfulness Institute Kanha,heartfulness_kanha,information
328,What is the digital library of Heartfulness Institute Kanha,heartfulness_kanha,information
329,What is events at Heartfulness Institute Kanha,heartfulness_kanha,information
330,What is the events of Heartfulness Institute Kanha,heartfulness_kanha,information
331,What is festivals at Heartfulness Institute Kanha,heartfulness_kanha,information
332,What is the festivals of Heartfulness Institute Kanha,heartfulness_kanha,information
333,What is celebrations at Heartfulness Institute Kanha,heartfulness_kanha,information
334,What is the celebrations of Heartfulness Institute Kanha,heartfulness_kanha,information
335,What is yoga at Heartfulness Institute Kanha,heartfulness_kanha,spiritual
336,What is the yoga of Heartfulness Institute Kanha,heartfulness_kanha,spiritual
337,What is meditation at Heartfulness Institute Kanha,heartfulness_kanha,spiritual
338,What is the meditation of Heartfulness Institute Kanha,heartfulness_kanha,spiritual
339,What is classroom at Heartfulness Institute Kanha,heartfulness_kanha,information
340,What is the classroom of Heartfulness Institute Kanha,heartfulness_kanha,information
341,What is laboratory at Heartfulness Institute Kanha,heartfulness_kanha,information
342,What is the laboratory of Heartfulness Institute Kanha,heartfulness_kanha,information
343,What is hostel at Heartfulness Institute Kanha,heartfulness_kanha,facilities
344,What is the hostel of Heartfulness Institute Kanha,heartfulness_kanha,facilities
345,What is gardens at Heartfulness Institute Kanha,heartfulness_kanha,information
346,What is the gardens of Heartfulness Institute Kanha,heartfulness_kanha,information
347,What is sustainability at Heartfulness Institute Kanha,heartfulness_kanha,information
348,What is the sustainability of Heartfulness Institute Kanha,heartfulness_kanha,information
349,What is organic farming at Heartfulness Institute Kanha,heartfulness_kanha,information
350,What is the organic farming of Heartfulness Institute Kanha,heartfulness_kanha,information
351,What is volunteering at Heartfulness Institute Kanha,heartfulness_kanha,information
352,What is the volunteering of Heartfulness Institute Kanha,heartfulness_kanha,information
353,What is workshops at Heartfulness Institute Kanha,heartfulness_kanha,information
354,What is the workshops of Heartfulness Institute Kanha,heartfulness_kanha,information
355,What is seminars at Heartfulness Institute Kanha,heartfulness_kanha,information
356,What is the seminars of Heartfulness Institute Kanha,heartfulness_kanha,information
357,What is retreats at Heartfulness Institute Kanha,heartfulness_kanha,information
358,What is the retreats of Heartfulness Institute Kanha,heartfulness_kanha,information
359,What is transport at Heartfulness Institute Kanha,heartfulness_kanha,services
360,What is the transport of Heartfulness Institute Kanha,heartfulness_kanha,services
361,What is bus routes at Heartfulness Institute Kanha,heartfulness_kanha,services
362,What is the bus routes of Heartfulness Institute Kanha,heartfulness_kanha,services
363,What is parking at Heartfulness Institute Kanha,heartfulness_kanha,services
364,What is the parking of Heartfulness Institute Kanha,heartfulness_kanha,services
365,What is scholarships at Heartfulness Institute Kanha,heartfulness_kanha,financial
366,What is the scholarships of Heartfulness Institute Kanha,heartfulness_kanha,financial
367,What is fees at Heartfulness Institute Kanha,heartfulness_kanha,financial
368,What is the fees of Heartfulness Institute Kanha,heartfulness_kanha,financial
369,What is admission process at Heartfulness Institute Kanha,heartfulness_kanha,admission
370,What is the admission process of Heartfulness Institute Kanha,heartfulness_kanha,admission
371,What is requirements at Heartfulness Institute Kanha,heartfulness_kanha,information
372,What is the requirements of Heartfulness Institute Kanha,heartfulness_kanha,information
373,What is calendar at Heartfulness Institute Kanha,heartfulness_kanha,information
374,What is the calendar of Heartfulness Institute Kanha,heartfulness_kanha,information
375,What is opening times at Heartfulness Institute Kanha,heartfulness_kanha,information
376,What is the opening times of Heartfulness Institute Kanha,heartfulness_kanha,information
377,What is closing times at Heartfulness Institute Kanha,heartfulness_kanha,information
378,What is the closing times of Heartfulness Institute Kanha,heartfulness_kanha,information
379,What is weekend timings at Heartfulness Institute Kanha,heartfulness_kanha,information
380,What is the weekend timings of Heartfulness Institute Kanha,heartfulness_kanha,information
381,What is summer camp at Heartfulness Institute Kanha,heartfulness_kanha,information
382,What is the summer camp of Heartfulness Institute Kanha,heartfulness_kanha,information
383,What is winter camp at Heartfulness Institute Kanha,heartfulness_kanha,information
384,What is the winter camp of Heartfulness Institute Kanha,heartfulness_kanha,information
385,What is holiday programs at Heartfulness Institute Kanha,heartfulness_kanha,academic
386,What is the holiday programs of Heartfulness Institute Kanha,heartfulness_kanha,academic
387,What is international exchange at Heartfulness Institute Kanha,heartfulness_kanha,information
388,What is the international exchange of Heartfulness Institute Kanha,heartfulness_kanha,information
389,What is award winners at Heartfulness Institute Kanha,heartfulness_kanha,information
390,What is the award winners of Heartfulness Institute Kanha,heartfulness_kanha,information
391,What is tech programs at Heartfulness Institute Kanha,heartfulness_kanha,academic
392,What is the tech programs of Heartfulness Institute Kanha,heartfulness_kanha,academic
393,What is community service at Heartfulness Institute Kanha,heartfulness_kanha,information
394,What is the community service of Heartfulness Institute Kanha,heartfulness_kanha,information
395,What is placement services at Heartfulness Institute Kanha,heartfulness_kanha,information
